approved,age,income,loan_amount,credit_score,employment_years,debt_to_income,area_type,education,self_employed,property_value
0,60,64072,157473,528,38,0.76,urban,high_school,0,370596
0,21,33543,258496,327,0,0.61,rural,high_school,0,628672
0,46,52859,493143,306,24,0.17,urban,high_school,1,828727
0,25,62004,531741,570,5,0.83,suburban,graduate,0,1102009
1,44,69677,251629,670,15,0.09,urban,high_school,1,606210
0,25,29756,438162,673,3,0.59,suburban,high_school,0,749494
0,24,87643,447887,467,0,0.79,urban,postgraduate,0,689699
1,40,62253,119403,710,16,0.8,rural,high_school,0,169786
0,40,65622,327746,769,18,0.65,suburban,high_school,1,419272
0,47,71302,567488,441,19,0.09,suburban,postgraduate,1,670668
0,27,43039,450156,365,1,0.42,urban,high_school,0,986641
0,20,88302,406699,573,0,0.4,urban,postgraduate,0,497435
1,49,83626,362942,819,28,0.46,urban,high_school,1,973896
0,30,70946,430612,319,9,0.72,urban,postgraduate,0,1187388
0,39,64227,559597,380,18,0.83,rural,high_school,0,1472885
1,50,100503,260922,733,27,0.37,suburban,postgraduate,0,632970
1,43,52860,72056,365,18,0.23,rural,graduate,1,156838
0,60,89137,589131,638,39,0.59,rural,high_school,0,869562
1,33,121782,545948,784,10,0.2,urban,postgraduate,0,1427650
0,47,53234,472179,400,27,0.69,urban,graduate,1,1159873
0,26,38759,242401,443,0,0.25,rural,high_school,0,377440
0,55,106154,297861,315,34,0.44,urban,high_school,0,396936
0,33,50648,527110,699,9,0.61,rural,graduate,0,827825
0,51,44412,113918,359,22,0.1,suburban,high_school,0,284333
0,57,115389,121849,382,35,0.59,rural,graduate,0,266857
0,56,48350,323432,835,31,0.62,urban,high_school,0,455559
0,35,67332,381535,607,8,0.8,rural,graduate,1,1090441
0,56,56822,415962,571,34,0.75,urban,high_school,0,1148774
1,43,86720,58203,609,14,0.49,suburban,graduate,0,135946
0,28,61658,345442,459,4,0.62,rural,graduate,0,763309
0,33,87807,494151,352,12,0.09,urban,postgraduate,1,1313797
0,36,64916,128898,309,15,0.6,urban,high_school,1,372528
1,29,73009,183636,451,3,0.34,suburban,postgraduate,0,198998
0,22,41934,476117,405,0,0.65,urban,graduate,0,1403437
0,35,26759,310222,640,9,0.68,suburban,high_school,0,475760
1,50,50308,74813,533,27,0.37,suburban,high_school,0,173571
1,37,52509,397235,709,7,0.14,suburban,high_school,1,1143430
0,36,52092,586265,621,10,0.77,urban,high_school,0,721863
1,32,62857,256606,832,4,0.11,urban,graduate,0,443528
1,40,135194,478231,819,16,0.61,urban,postgraduate,0,790212
1,55,70707,232480,688,25,0.29,suburban,high_school,0,518669
0,38,62433,513246,629,11,0.22,urban,high_school,1,967119
1,50,75882,401470,827,20,0.81,urban,postgraduate,0,476454
1,32,33306,126365,786,3,0.76,rural,high_school,0,241462
0,56,57389,55814,451,26,0.74,suburban,high_school,1,155459
